Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Hospital
진균 감염,가려움,피부 발진,결절성 피부 발진,색소 이상 반점,,,,,,,,,,,,,,피부과
진균 감염,피부 발진,결절성 피부 발진,색소 이상 반점,,,,,,,,,,,,,,,피부과
진균 감염,가려움,결절성 피부 발진,색소 이상 반점,,,,,,,,,,,,,,,피부과
진균 감염,가려움,피부 발진,색소 이상 반점,,,,,,,,,,,,,,,피부과
진균 감염,가려움,피부 발진,결절성 피부 발진,,,,,,,,,,,,,,,피부과
진균 감염,피부 발진,결절성 피부 발진,색소 이상 반점,,,,,,,,,,,,,,,피부과
진균 감염,가려움,결절성 피부 발진,색소 이상 반점,,,,,,,,,,,,,,,피부과
진균 감염,가려움,피부 발진,색소 이상 반점,,,,,,,,,,,,,,,피부과
진균 감염,가려움,피부 발진,결절성 피부 발진,,,,,,,,,,,,,,,피부과
진균 감염,가려움,피부 발진,결절성 피부 발진,색소 이상 반점,,,,,,,,,,,,,,피부과
알레르기,지속적인 재채기,오한,오한,눈물 흘림,,,,,,,,,,,,,,알레르기과
알레르기,오한,오한,눈물 흘림,,,,,,,,,,,,,,,알레르기과
알레르기,지속적인 재채기,오한,눈물 흘림,,,,,,,,,,,,,,,알레르기과
알레르기,지속적인 재채기,오한,눈물 흘림,,,,,,,,,,,,,,,알레르기과
알레르기,지속적인 재채기,오한,오한,,,,,,,,,,,,,,,알레르기과
알레르기,오한,오한,눈물 흘림,,,,,,,,,,,,,,,알레르기과
알레르기,지속적인 재채기,오한,눈물 흘림,,,,,,,,,,,,,,,알레르기과
알레르기,지속적인 재채기,오한,눈물 흘림,,,,,,,,,,,,,,,알레르기과
알레르기,지속적인 재채기,오한,오한,,,,,,,,,,,,,,,알레르기과
알레르기,지속적인 재채기,오한,오한,눈물 흘림,,,,,,,,,,,,,,알레르기과
위식도 역류 질환,복통,산성 역류,혀의 궤양,구토,기침,가슴 통증,,,,,,,,,,,,내과
위식도 역류 질환,복통,혀의 궤양,구토,기침,가슴 통증,,,,,,,,,,,,,내과
위식도 역류 질환,복통,산성 역류,구토,기침,가슴 통증,,,,,,,,,,,,,내과
위식도 역류 질환,복통,산성 역류,혀의 궤양,기침,가슴 통증,,,,,,,,,,,,,내과
위식도 역류 질환,복통,산성 역류,혀의 궤양,구토,가슴 통증,,,,,,,,,,,,,내과
위식도 역류 질환,복통,산성 역류,혀의 궤양,구토,기침,,,,,,,,,,,,,내과
위식도 역류 질환,산성 역류,혀의 궤양,구토,기침,가슴 통증,,,,,,,,,,,,,내과
위식도 역류 질환,복통,혀의 궤양,구토,기침,가슴 통증,,,,,,,,,,,,,내과
위식도 역류 질환,복통,산성 역류,구토,기침,가슴 통증,,,,,,,,,,,,,내과
위식도 역류 질환,복통,산성 역류,혀의 궤양,기침,가슴 통증,,,,,,,,,,,,,내과
